2025-05-10 02:25:04,971 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:23:08,033 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:23:12,183 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:23:18,343 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:23:28,511 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:23:32,675 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:23:38,851 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:23:49,013 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:23:53,171 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:23:59,338 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:24:09,506 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:24:13,668 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:24:19,831 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:24:29,990 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:24:34,150 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:24:40,310 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:24:50,473 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:24:54,635 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:25:00,795 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:25:10,951 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:25:15,118 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:25:21,282 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:25:31,444 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:25:35,606 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:25:41,772 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:25:51,928 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:25:56,097 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:26:02,347 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:26:12,838 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:26:16,996 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:26:23,156 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:26:33,322 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:26:37,490 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:26:43,648 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:26:53,815 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:26:57,967 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:27:04,130 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:27:14,292 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:27:18,456 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:27:24,612 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:27:34,775 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:27:38,967 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:27:45,122 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:27:55,275 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:27:59,429 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:28:05,592 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:28:15,749 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:28:19,915 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:28:26,403 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:28:36,686 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:28:40,850 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:28:47,010 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:28:57,171 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:29:01,331 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:29:07,485 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:29:17,715 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:29:21,874 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:29:28,030 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:29:38,193 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:29:42,361 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:29:48,522 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:29:58,687 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:30:02,885 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:30:09,043 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:30:19,207 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:30:23,364 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:30:29,522 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:30:39,677 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:30:43,836 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:30:49,993 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:31:00,154 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:31:04,324 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:31:10,480 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:31:20,645 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:31:24,801 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:31:31,077 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:31:41,517 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:31:45,675 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:31:51,842 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:32:02,075 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:32:06,237 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:32:12,396 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:32:22,553 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:32:26,712 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:32:32,877 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:32:43,044 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:32:47,256 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:32:53,424 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:33:03,580 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:33:07,730 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:33:13,896 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:33:24,087 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:33:28,255 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:33:34,412 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:33:44,577 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:33:48,736 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:33:54,898 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:34:05,070 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:34:09,360 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:34:15,525 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:34:25,691 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:34:29,852 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:34:36,014 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:34:46,165 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:34:50,668 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:34:56,829 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:35:06,992 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:35:11,160 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:35:17,314 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:35:27,474 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:35:31,631 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:35:37,800 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:35:47,949 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:35:52,101 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:35:58,259 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:36:08,417 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:36:12,577 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:36:18,738 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:36:28,909 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:36:33,069 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:36:39,300 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:36:49,467 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:36:53,627 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:36:59,776 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:37:09,939 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:37:14,092 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:37:20,258 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:37:30,418 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:37:34,579 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:37:40,748 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:37:50,905 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:37:55,069 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:38:01,228 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:38:11,393 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:38:15,556 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:38:21,776 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:38:31,931 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:38:36,087 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:38:42,244 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:38:52,407 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:38:56,571 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:39:02,729 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:39:12,889 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:39:17,047 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:39:23,214 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:39:33,382 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:39:37,529 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:39:43,687 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:39:53,851 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:39:58,007 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:40:04,167 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:40:14,323 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:40:18,478 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:40:24,642 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:40:34,808 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:40:39,042 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:40:45,201 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:40:55,356 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:40:59,511 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:41:05,677 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:41:15,848 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:41:20,012 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:41:26,192 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:41:36,350 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:41:40,508 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:41:46,661 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:41:56,818 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:42:01,036 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:42:07,287 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:42:17,455 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:42:21,629 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:42:27,788 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:42:37,951 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:42:42,118 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:42:48,311 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:42:58,468 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:43:02,632 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:43:08,796 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:43:18,954 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:43:23,104 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:43:29,253 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:43:39,448 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:43:43,607 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:43:49,773 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:43:59,927 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:44:04,092 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:44:10,256 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:44:20,469 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:44:24,631 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:44:30,789 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:44:40,947 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:44:45,113 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:44:51,279 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:45:01,518 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:45:05,676 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:45:11,830 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:45:22,014 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:45:26,164 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:45:32,329 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:45:42,493 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:45:46,647 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:45:52,807 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:46:02,977 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:46:07,133 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:46:13,285 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:46:23,450 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:46:27,737 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:46:33,905 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:46:44,061 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:46:48,224 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:46:54,391 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:47:04,554 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:47:08,782 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:47:14,945 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
2025-05-10 04:47:25,107 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:47:29,490 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:47:35,651 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.529726295458538, 114.1134729938289)
2025-05-10 04:47:45,846 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:47:49,999 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:47:56,158 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.515270575975155, 114.06577765278918)
2025-05-10 04:48:06,322 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:48:10,474 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:48:16,641 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.304425501999223, 114.16498506919883)
2025-05-10 04:48:26,800 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:48:30,977 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:48:37,133 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.500009325541157, 113.9449225833629)
2025-05-10 04:48:47,290 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:48:51,450 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:48:57,604 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.510301854924847, 114.07403675592798)
2025-05-10 04:49:07,754 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:49:11,985 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:49:18,151 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.53757547810692, 114.1286652284366)
2025-05-10 04:49:28,315 - ERROR: API错误:REQUEST_DENIED | 口岸:(22.552929052352503, 114.1536201621786)
